Result,Toss,Bat,Ground,Type,Selected_team,Other_team
lost,lost,2nd,Birmingham,T20,Australia,Pakistan
won,won,2nd,Cardiff,T20,England,Pakistan
lost,lost,1st,Cardiff,T20,Pakistan,England
won,lost,2nd,Cardiff,T20,England,Pakistan
lost,won,1st,Cardiff,T20,Pakistan,England
won,lost,2nd,Bloemfontein,T20,South Africa,Zimbabwe
lost,won,1st,Bloemfontein,T20,Zimbabwe,South Africa
won,won,1st,Kimberley,T20,South Africa,Zimbabwe
lost,lost,2nd,Kimberley,T20,Zimbabwe,South Africa
won,lost,2nd,Abu Dhabi,T20,South Africa,Pakistan
lost,won,1st,Abu Dhabi,T20,Pakistan,South Africa
won,lost,2nd,Abu Dhabi,T20,South Africa,Pakistan
lost,won,1st,Abu Dhabi,T20,Pakistan,South Africa
won,lost,2nd,Perth,T20,Sri Lanka,Australia
lost,won,1st,Perth,T20,Australia,Sri Lanka
won,won,2nd,Auckland,T20,New Zealand,Pakistan
lost,lost,1st,Auckland,T20,Pakistan,New Zealand
won,lost,1st,Hamilton,T20,New Zealand,Pakistan
lost,won,2nd,Hamilton,T20,Pakistan,New Zealand
won,won,1st,Christchurch,T20,Pakistan,New Zealand
lost,lost,2nd,Christchurch,T20,New Zealand,Pakistan
won,won,1st,Durban,T20,India,South Africa
lost,lost,2nd,Durban,T20,South Africa,India
won,lost,2nd,Adelaide,T20,England,Australia
lost,won,1st,Adelaide,T20,Australia,England
won,won,1st,Melbourne,T20,Australia,England
lost,lost,2nd,Melbourne,T20,England,Australia
won,won,1st,Gros Islet,T20,West Indies,Pakistan
lost,lost,2nd,Gros Islet,T20,Pakistan,West Indies
won,lost,1st,Port of Spain,T20,India,West Indies
lost,won,2nd,Port of Spain,T20,West Indies,India
won,won,2nd,Bristol,T20,Sri Lanka,England
lost,lost,1st,Bristol,T20,England,Sri Lanka
won,lost,1st,Pallekele,T20,Sri Lanka,Australia
lost,won,2nd,Pallekele,T20,Australia,Sri Lanka
won,won,1st,Pallekele,T20,Sri Lanka,Australia
lost,lost,2nd,Pallekele,T20,Australia,Sri Lanka
won,lost,2nd,Manchester,T20,England,India
lost,won,1st,Manchester,T20,India,England
won,lost,1st,Harare,T20,Pakistan,Zimbabwe
lost,won,2nd,Harare,T20,Zimbabwe,Pakistan
won,won,1st,Harare,T20,Pakistan,Zimbabwe
lost,lost,2nd,Harare,T20,Zimbabwe,Pakistan
won,won,2nd,The Oval,T20,England,West Indies
lost,lost,1st,The Oval,T20,West Indies,England
won,lost,1st,The Oval,T20,West Indies,England
lost,won,2nd,The Oval,T20,England,West Indies
won,won,2nd,Mirpur,T20,Bangladesh,West Indies
lost,lost,1st,Mirpur,T20,West Indies,Bangladesh
won,lost,2nd,Cape Town,T20,Australia,South Africa
lost,won,1st,Cape Town,T20,South Africa,Australia
won,won,2nd,Harare,T20,New Zealand,Zimbabwe
lost,lost,1st,Harare,T20,Zimbabwe,New Zealand
won,lost,2nd,Johannesburg,T20,South Africa,Australia
lost,won,1st,Johannesburg,T20,Australia,South Africa
won,lost,1st,Harare,T20,New Zealand,Zimbabwe
lost,won,2nd,Harare,T20,Zimbabwe,New Zealand
won,lost,2nd,Eden Gardens,T20,England,India
lost,won,1st,Eden Gardens,T20,India,England
won,lost,2nd,Abu Dhabi,T20,Pakistan,Sri Lanka
lost,won,1st,Abu Dhabi,T20,Sri Lanka,Pakistan
won,won,1st,Mirpur,T20,Pakistan,Bangladesh
lost,lost,2nd,Mirpur,T20,Bangladesh,Pakistan
won,lost,1st,Sydney,T20,Australia,India
lost,won,2nd,Sydney,T20,India,Australia
won,lost,2nd,Melbourne,T20,India,Australia
lost,won,1st,Melbourne,T20,Australia,India
won,lost,2nd,Auckland,T20,New Zealand,Zimbabwe
lost,won,1st,Auckland,T20,Zimbabwe,New Zealand
won,lost,2nd,Hamilton,T20,New Zealand,Zimbabwe
lost,won,1st,Hamilton,T20,Zimbabwe,New Zealand
won,won,2nd,Wellington,T20,New Zealand,South Africa
lost,lost,1st,Wellington,T20,South Africa,New Zealand
won,won,2nd,Hamilton,T20,South Africa,New Zealand
lost,lost,1st,Hamilton,T20,New Zealand,South Africa
won,lost,1st,Auckland,T20,South Africa,New Zealand
lost,won,2nd,Auckland,T20,New Zealand,South Africa
won,won,2nd,Mombasa,T20,Ireland,Kenya
lost,lost,1st,Mombasa,T20,Kenya,Ireland
won,lost,2nd,Mombasa,T20,Ireland,Kenya
lost,won,1st,Mombasa,T20,Kenya,Ireland
won,lost,1st,Dubai (DICS),T20,Pakistan,England
lost,won,2nd,Dubai (DICS),T20,England,Pakistan
won,won,1st,Mombasa,T20,Ireland,Kenya
lost,lost,2nd,Mombasa,T20,Kenya,Ireland
won,won,1st,Dubai (DICS),T20,England,Pakistan
lost,lost,2nd,Dubai (DICS),T20,Pakistan,England
won,won,1st,Abu Dhabi,T20,England,Pakistan
lost,lost,2nd,Abu Dhabi,T20,Pakistan,England
won,won,1st,Dubai (DICS),T20,Netherlands,Canada
lost,lost,2nd,Dubai (DICS),T20,Canada,Netherlands
won,won,1st,ICCA Dubai,T20,Scotland,Kenya
lost,lost,2nd,ICCA Dubai,T20,Kenya,Scotland
won,lost,2nd,Dubai (DICS),T20,Ireland,Kenya
lost,won,1st,Dubai (DICS),T20,Kenya,Ireland
won,lost,2nd,Dubai (DICS),T20,Afghanistan,Netherlands
lost,won,1st,Dubai (DICS),T20,Netherlands,Afghanistan
won,won,1st,ICCA Dubai,T20,Afghanistan,Canada
lost,lost,2nd,ICCA Dubai,T20,Canada,Afghanistan
won,won,1st,Dubai (DICS),T20,Ireland,Scotland
lost,lost,2nd,Dubai (DICS),T20,Scotland,Ireland
won,lost,2nd,Dubai (DICS),T20,Ireland,Canada
lost,won,1st,Dubai (DICS),T20,Canada,Ireland
won,lost,2nd,ICCA Dubai,T20,Netherlands,Scotland
lost,won,1st,ICCA Dubai,T20,Scotland,Netherlands
won,won,2nd,Dubai (DICS),T20,Ireland,Netherlands
lost,lost,1st,Dubai (DICS),T20,Netherlands,Ireland
won,lost,2nd,Dubai (DICS),T20,Scotland,Canada
lost,won,1st,Dubai (DICS),T20,Canada,Scotland
won,lost,2nd,Dubai (DICS),T20,Ireland,Afghanistan
lost,won,1st,Dubai (DICS),T20,Afghanistan,Ireland
won,lost,2nd,Gros Islet,T20,Australia,West Indies
lost,won,1st,Gros Islet,T20,West Indies,Australia
won,lost,1st,Johannesburg,T20,South Africa,India
lost,won,2nd,Johannesburg,T20,India,South Africa
won,won,1st,Bridgetown,T20,West Indies,Australia
lost,lost,2nd,Bridgetown,T20,Australia,West Indies
won,won,1st,Hambantota,T20,Sri Lanka,Pakistan
lost,lost,2nd,Hambantota,T20,Pakistan,Sri Lanka
won,won,1st,Hambantota,T20,Pakistan,Sri Lanka
lost,lost,2nd,Hambantota,T20,Sri Lanka,Pakistan
won,lost,2nd,Nottingham,T20,England,West Indies
lost,won,1st,Nottingham,T20,West Indies,England
won,lost,1st,Lauderhill,T20,West Indies,New Zealand
lost,won,2nd,Lauderhill,T20,New Zealand,West Indies
won,won,1st,Lauderhill,T20,West Indies,New Zealand
lost,lost,2nd,Lauderhill,T20,New Zealand,West Indies
won,lost,1st,Belfast,T20,Bangladesh,Ireland
lost,won,2nd,Belfast,T20,Ireland,Bangladesh
won,won,1st,Belfast,T20,Bangladesh,Ireland
lost,lost,2nd,Belfast,T20,Ireland,Bangladesh
won,lost,2nd,Belfast,T20,Bangladesh,Ireland
lost,won,1st,Belfast,T20,Ireland,Bangladesh
won,won,1st,The Hague,T20,Scotland,Bangladesh
lost,lost,2nd,The Hague,T20,Bangladesh,Scotland
won,lost,2nd,The Hague,T20,Bangladesh,Netherlands
lost,won,1st,The Hague,T20,Netherlands,Bangladesh
won,lost,2nd,The Hague,T20,Netherlands,Bangladesh
lost,won,1st,The Hague,T20,Bangladesh,Netherlands
won,lost,1st,Pallekele,T20,India,Sri Lanka
lost,won,2nd,Pallekele,T20,Sri Lanka,India
won,won,2nd,Dubai (DICS),T20,Pakistan,Australia
lost,lost,1st,Dubai (DICS),T20,Australia,Pakistan
tied,lost,2nd,Dubai (DICS),T20,Australia,Pakistan
tied,won,1st,Dubai (DICS),T20,Pakistan,Australia
won,won,2nd,Chester-le-Street,T20,South Africa,England
lost,lost,1st,Chester-le-Street,T20,England,South Africa
won,lost,1st,Dubai (DICS),T20,Australia,Pakistan
lost,won,2nd,Dubai (DICS),T20,Pakistan,Australia
won,lost,1st,Chennai,T20,New Zealand,India
lost,won,2nd,Chennai,T20,India,New Zealand
won,lost,1st,Birmingham,T20,England,South Africa
lost,won,2nd,Birmingham,T20,South Africa,England
won,lost,1st,Hambantota,T20,Sri Lanka,Zimbabwe
lost,won,2nd,Hambantota,T20,Zimbabwe,Sri Lanka
won,lost,2nd,Colombo (RPS),T20,Australia,Ireland
lost,won,1st,Colombo (RPS),T20,Ireland,Australia
won,lost,1st,Colombo (RPS),T20,India,Afghanistan
lost,won,2nd,Colombo (RPS),T20,Afghanistan,India
won,won,2nd,Hambantota,T20,South Africa,Zimbabwe
lost,lost,1st,Hambantota,T20,Zimbabwe,South Africa
won,lost,1st,Pallekele,T20,New Zealand,Bangladesh
lost,won,2nd,Pallekele,T20,Bangladesh,New Zealand
won,lost,1st,Colombo (RPS),T20,England,Afghanistan
lost,won,2nd,Colombo (RPS),T20,Afghanistan,England
won,lost,1st,Hambantota,T20,South Africa,Sri Lanka
lost,won,2nd,Hambantota,T20,Sri Lanka,South Africa
won,lost,2nd,Colombo (RPS),T20,Australia,West Indies
lost,won,1st,Colombo (RPS),T20,West Indies,Australia
won,won,1st,Pallekele,T20,Pakistan,New Zealand
lost,lost,2nd,Pallekele,T20,New Zealand,Pakistan
won,lost,1st,Colombo (RPS),T20,India,England
lost,won,2nd,Colombo (RPS),T20,England,India
won,lost,2nd,Pallekele,T20,Pakistan,Bangladesh
lost,won,1st,Pallekele,T20,Bangladesh,Pakistan
tied,won,1st,Pallekele,T20,New Zealand,Sri Lanka
tied,lost,2nd,Pallekele,T20,Sri Lanka,New Zealand
won,won,1st,Pallekele,T20,West Indies,England
lost,lost,2nd,Pallekele,T20,England,West Indies
won,lost,2nd,Colombo (RPS),T20,Pakistan,South Africa
lost,won,1st,Colombo (RPS),T20,South Africa,Pakistan
won,lost,2nd,Colombo (RPS),T20,Australia,India
lost,won,1st,Colombo (RPS),T20,India,Australia
won,lost,2nd,Pallekele,T20,England,New Zealand
lost,won,1st,Pallekele,T20,New Zealand,England
won,lost,2nd,Pallekele,T20,Sri Lanka,West Indies
lost,won,1st,Pallekele,T20,West Indies,Sri Lanka
won,won,2nd,Colombo (RPS),T20,Australia,South Africa
lost,lost,1st,Colombo (RPS),T20,South Africa,Australia
won,lost,2nd,Colombo (RPS),T20,India,Pakistan
lost,won,1st,Colombo (RPS),T20,Pakistan,India
tied,won,2nd,Pallekele,T20,New Zealand,West Indies
tied,lost,1st,Pallekele,T20,West Indies,New Zealand
won,lost,1st,Pallekele,T20,Sri Lanka,England
lost,won,2nd,Pallekele,T20,England,Sri Lanka
won,lost,1st,Colombo (RPS),T20,Pakistan,Australia
lost,won,2nd,Colombo (RPS),T20,Australia,Pakistan
won,lost,1st,Colombo (RPS),T20,India,South Africa
lost,won,2nd,Colombo (RPS),T20,South Africa,India
won,won,1st,Colombo (RPS),T20,Sri Lanka,Pakistan
lost,lost,2nd,Colombo (RPS),T20,Pakistan,Sri Lanka
won,won,1st,Colombo (RPS),T20,West Indies,Australia
lost,lost,2nd,Colombo (RPS),T20,Australia,West Indies
won,won,1st,Colombo (RPS),T20,West Indies,Sri Lanka
lost,lost,2nd,Colombo (RPS),T20,Sri Lanka,West Indies
won,won,1st,Mirpur,T20,West Indies,Bangladesh
lost,lost,2nd,Mirpur,T20,Bangladesh,West Indies
won,won,2nd,Pune,T20,India,England
lost,lost,1st,Pune,T20,England,India
won,lost,2nd,Durban,T20,South Africa,New Zealand
lost,won,1st,Durban,T20,New Zealand,South Africa
won,won,2nd,Wankhede,T20,England,India
lost,lost,1st,Wankhede,T20,India,England
won,won,2nd,East London,T20,New Zealand,South Africa
lost,lost,1st,East London,T20,South Africa,New Zealand
won,won,2nd,Bengaluru,T20,Pakistan,India
lost,lost,1st,Bengaluru,T20,India,Pakistan
won,won,1st,Gqeberha,T20,South Africa,New Zealand
lost,lost,2nd,Gqeberha,T20,New Zealand,South Africa
won,lost,1st,Ahmedabad,T20,India,Pakistan
lost,won,2nd,Ahmedabad,T20,Pakistan,India
won,lost,2nd,Sydney,T20,Sri Lanka,Australia
lost,won,1st,Sydney,T20,Australia,Sri Lanka
won,lost,1st,Melbourne,T20,Sri Lanka,Australia
lost,won,2nd,Melbourne,T20,Australia,Sri Lanka
won,lost,1st,Auckland,T20,England,New Zealand
lost,won,2nd,Auckland,T20,New Zealand,England
won,lost,1st,Hamilton,T20,New Zealand,England
lost,won,2nd,Hamilton,T20,England,New Zealand
won,won,1st,Brisbane,T20,West Indies,Australia
lost,lost,2nd,Brisbane,T20,Australia,West Indies
won,won,2nd,Wellington,T20,England,New Zealand
lost,lost,1st,Wellington,T20,New Zealand,England
won,lost,2nd,North Sound,T20,West Indies,Zimbabwe
lost,won,1st,North Sound,T20,Zimbabwe,West Indies
won,won,1st,Centurion,T20,Pakistan,South Africa
lost,lost,2nd,Centurion,T20,South Africa,Pakistan
won,won,1st,Sharjah,T20,Afghanistan,Scotland
lost,lost,2nd,Sharjah,T20,Scotland,Afghanistan
won,won,1st,North Sound,T20,West Indies,Zimbabwe
lost,lost,2nd,North Sound,T20,Zimbabwe,West Indies
won,lost,2nd,Sharjah,T20,Afghanistan,Scotland
lost,won,1st,Sharjah,T20,Scotland,Afghanistan
won,lost,2nd,ICCA Dubai,T20,Canada,Kenya
lost,won,1st,ICCA Dubai,T20,Kenya,Canada
won,won,1st,ICCA Dubai,T20,Kenya,Canada
lost,lost,2nd,ICCA Dubai,T20,Canada,Kenya
won,lost,1st,Pallekele,T20,Sri Lanka,Bangladesh
lost,won,2nd,Pallekele,T20,Bangladesh,Sri Lanka
won,lost,2nd,Windhoek,T20,Kenya,Netherlands
lost,won,1st,Windhoek,T20,Netherlands,Kenya
won,won,2nd,Windhoek,T20,Kenya,Netherlands
lost,lost,1st,Windhoek,T20,Netherlands,Kenya
won,won,1st,Bulawayo,T20,Zimbabwe,Bangladesh
lost,lost,2nd,Bulawayo,T20,Bangladesh,Zimbabwe
won,won,1st,Bulawayo,T20,Bangladesh,Zimbabwe
lost,lost,2nd,Bulawayo,T20,Zimbabwe,Bangladesh
won,lost,1st,The Oval,T20,New Zealand,England
lost,won,2nd,The Oval,T20,England,New Zealand
won,won,1st,Aberdeen,T20,Scotland,Kenya
lost,lost,2nd,Aberdeen,T20,Kenya,Scotland
won,lost,2nd,Aberdeen,T20,Scotland,Kenya
lost,won,1st,Aberdeen,T20,Kenya,Scotland
won,lost,2nd,Kingstown,T20,Pakistan,West Indies
lost,won,1st,Kingstown,T20,West Indies,Pakistan
won,won,1st,Kingstown,T20,Pakistan,West Indies
lost,lost,2nd,Kingstown,T20,West Indies,Pakistan
won,won,1st,Colombo (RPS),T20,South Africa,Sri Lanka
lost,lost,2nd,Colombo (RPS),T20,Sri Lanka,South Africa
won,won,1st,Hambantota,T20,South Africa,Sri Lanka
lost,lost,2nd,Hambantota,T20,Sri Lanka,South Africa
won,lost,2nd,Hambantota,T20,Sri Lanka,South Africa
lost,won,1st,Hambantota,T20,South Africa,Sri Lanka
won,lost,1st,Harare,T20,Pakistan,Zimbabwe
lost,won,2nd,Harare,T20,Zimbabwe,Pakistan
won,lost,1st,Harare,T20,Pakistan,Zimbabwe
lost,won,2nd,Harare,T20,Zimbabwe,Pakistan
won,lost,1st,Southampton,T20,Australia,England
lost,won,2nd,Southampton,T20,England,Australia
won,lost,1st,Chester-le-Street,T20,England,Australia
lost,won,2nd,Chester-le-Street,T20,Australia,England
won,won,1st,Sharjah,T20,Afghanistan,Kenya
lost,lost,2nd,Sharjah,T20,Kenya,Afghanistan
won,won,2nd,Rajkot,T20,India,Australia
lost,lost,1st,Rajkot,T20,Australia,India
won,won,1st,Sharjah,T20,Kenya,Afghanistan
lost,lost,2nd,Sharjah,T20,Afghanistan,Kenya
won,won,1st,Mirpur,T20,New Zealand,Bangladesh
lost,lost,2nd,Mirpur,T20,Bangladesh,New Zealand
won,lost,2nd,Dubai (DICS),T20,South Africa,Pakistan
lost,won,1st,Dubai (DICS),T20,Pakistan,South Africa
won,lost,2nd,Sharjah,T20,Netherlands,Afghanistan
lost,won,1st,Sharjah,T20,Afghanistan,Netherlands
won,won,1st,Dubai (DICS),T20,South Africa,Pakistan
lost,lost,2nd,Dubai (DICS),T20,Pakistan,South Africa
won,won,1st,Sharjah,T20,Afghanistan,Scotland
lost,lost,2nd,Sharjah,T20,Scotland,Afghanistan
won,lost,1st,Abu Dhabi,T20,Ireland,Canada
lost,won,2nd,Abu Dhabi,T20,Canada,Ireland
won,won,1st,ICCA Dubai,T20,Kenya,Scotland
lost,lost,2nd,ICCA Dubai,T20,Scotland,Kenya
won,lost,1st,Johannesburg,T20,South Africa,Pakistan
lost,won,2nd,Johannesburg,T20,Pakistan,South Africa
won,won,2nd,Pallekele,T20,Sri Lanka,New Zealand
lost,lost,1st,Pallekele,T20,New Zealand,Sri Lanka
won,lost,1st,ICCA Dubai,T20,Scotland,Netherlands
lost,won,2nd,ICCA Dubai,T20,Netherlands,Scotland
won,won,1st,Cape Town,T20,Pakistan,South Africa
lost,lost,2nd,Cape Town,T20,South Africa,Pakistan
won,won,1st,ICCA Dubai,T20,Netherlands,Kenya
lost,lost,2nd,ICCA Dubai,T20,Kenya,Netherlands
won,won,1st,Sharjah,T20,Afghanistan,Kenya
lost,lost,2nd,Sharjah,T20,Kenya,Afghanistan
won,won,1st,Sharjah,T20,Kenya,Canada
lost,lost,2nd,Sharjah,T20,Canada,Kenya
won,lost,2nd,Abu Dhabi,T20,Netherlands,Scotland
lost,won,1st,Abu Dhabi,T20,Scotland,Netherlands
won,won,1st,Abu Dhabi,T20,Ireland,Afghanistan
lost,lost,2nd,Abu Dhabi,T20,Afghanistan,Ireland
won,lost,2nd,Sharjah,T20,Pakistan,Afghanistan
lost,won,1st,Sharjah,T20,Afghanistan,Pakistan
won,won,2nd,Dubai (DICS),T20,Pakistan,Sri Lanka
lost,lost,1st,Dubai (DICS),T20,Sri Lanka,Pakistan
won,lost,1st,Dubai (DICS),T20,Sri Lanka,Pakistan
lost,won,2nd,Dubai (DICS),T20,Pakistan,Sri Lanka
won,won,1st,Auckland,T20,New Zealand,West Indies
lost,lost,2nd,Auckland,T20,West Indies,New Zealand
won,lost,2nd,Wellington,T20,New Zealand,West Indies
lost,won,1st,Wellington,T20,West Indies,New Zealand
won,won,1st,Hobart,T20,Australia,England
lost,lost,2nd,Hobart,T20,England,Australia
won,lost,2nd,Melbourne,T20,Australia,England
lost,won,1st,Melbourne,T20,England,Australia
won,won,1st,Sydney,T20,Australia,England
lost,lost,2nd,Sydney,T20,England,Australia
won,lost,1st,Chattogram,T20,Sri Lanka,Bangladesh
lost,won,2nd,Chattogram,T20,Bangladesh,Sri Lanka
won,lost,2nd,Chattogram,T20,Sri Lanka,Bangladesh
lost,won,1st,Chattogram,T20,Bangladesh,Sri Lanka
won,lost,2nd,Kingston,T20,Ireland,West Indies
lost,won,1st,Kingston,T20,West Indies,Ireland
won,lost,1st,Kingston,T20,West Indies,Ireland
lost,won,2nd,Kingston,T20,Ireland,West Indies
won,won,1st,Bridgetown,T20,West Indies,England
lost,lost,2nd,Bridgetown,T20,England,West Indies
won,lost,2nd,Bridgetown,T20,West Indies,England
lost,won,1st,Bridgetown,T20,England,West Indies
won,won,2nd,Durban,T20,Australia,South Africa
lost,lost,1st,Durban,T20,South Africa,Australia
won,won,1st,Bridgetown,T20,England,West Indies
lost,lost,2nd,Bridgetown,T20,West Indies,England
won,won,2nd,Centurion,T20,Australia,South Africa
lost,lost,1st,Centurion,T20,South Africa,Australia
won,won,2nd,Mirpur,T20,Bangladesh,Afghanistan
lost,lost,1st,Mirpur,T20,Afghanistan,Bangladesh
won,lost,1st,Chattogram,T20,Nepal,Hong Kong
lost,won,2nd,Chattogram,T20,Hong Kong,Nepal
won,won,2nd,Sylhet,T20,Ireland,Zimbabwe
lost,lost,1st,Sylhet,T20,Zimbabwe,Ireland
won,lost,2nd,Sylhet,T20,Netherlands,U.A.E.
lost,won,1st,Sylhet,T20,U.A.E.,Netherlands
won,lost,2nd,Chattogram,T20,Afghanistan,Hong Kong
lost,won,1st,Chattogram,T20,Hong Kong,Afghanistan
won,won,2nd,Chattogram,T20,Bangladesh,Nepal
lost,lost,1st,Chattogram,T20,Nepal,Bangladesh
won,lost,2nd,Sylhet,T20,Zimbabwe,Netherlands
lost,won,1st,Sylhet,T20,Netherlands,Zimbabwe
won,won,2nd,Sylhet,T20,Ireland,U.A.E.
lost,lost,1st,Sylhet,T20,U.A.E.,Ireland
won,lost,1st,Chattogram,T20,Nepal,Afghanistan
lost,won,2nd,Chattogram,T20,Afghanistan,Nepal
won,won,2nd,Chattogram,T20,Hong Kong,Bangladesh
lost,lost,1st,Chattogram,T20,Bangladesh,Hong Kong
won,won,2nd,Sylhet,T20,Zimbabwe,U.A.E.
lost,lost,1st,Sylhet,T20,U.A.E.,Zimbabwe
won,won,2nd,Sylhet,T20,Netherlands,Ireland
lost,lost,1st,Sylhet,T20,Ireland,Netherlands
won,won,2nd,Mirpur,T20,India,Pakistan
lost,lost,1st,Mirpur,T20,Pakistan,India
won,won,1st,Chattogram,T20,Sri Lanka,South Africa
lost,lost,2nd,Chattogram,T20,South Africa,Sri Lanka
won,won,2nd,Chattogram,T20,New Zealand,England
lost,lost,1st,Chattogram,T20,England,New Zealand
won,lost,1st,Mirpur,T20,Pakistan,Australia
lost,won,2nd,Mirpur,T20,Australia,Pakistan
won,won,2nd,Mirpur,T20,India,West Indies
lost,lost,1st,Mirpur,T20,West Indies,India
won,lost,1st,Chattogram,T20,South Africa,New Zealand
lost,won,2nd,Chattogram,T20,New Zealand,South Africa
won,won,2nd,Chattogram,T20,Sri Lanka,Netherlands
lost,lost,1st,Chattogram,T20,Netherlands,Sri Lanka
won,lost,1st,Mirpur,T20,West Indies,Bangladesh
lost,won,2nd,Mirpur,T20,Bangladesh,West Indies
won,lost,1st,Chattogram,T20,South Africa,Netherlands
lost,won,2nd,Chattogram,T20,Netherlands,South Africa
won,won,2nd,Chattogram,T20,England,Sri Lanka
lost,lost,1st,Chattogram,T20,Sri Lanka,England
won,lost,2nd,Mirpur,T20,West Indies,Australia
lost,won,1st,Mirpur,T20,Australia,West Indies
won,won,2nd,Mirpur,T20,India,Bangladesh
lost,lost,1st,Mirpur,T20,Bangladesh,India
won,won,2nd,Chattogram,T20,New Zealand,Netherlands
lost,lost,1st,Chattogram,T20,Netherlands,New Zealand
won,lost,1st,Chattogram,T20,South Africa,England
lost,won,2nd,Chattogram,T20,England,South Africa
won,won,1st,Mirpur,T20,Pakistan,Bangladesh
lost,lost,2nd,Mirpur,T20,Bangladesh,Pakistan
won,lost,1st,Mirpur,T20,India,Australia
lost,won,2nd,Mirpur,T20,Australia,India
won,lost,1st,Chattogram,T20,Netherlands,England
lost,won,2nd,Chattogram,T20,England,Netherlands
won,lost,1st,Chattogram,T20,Sri Lanka,New Zealand
lost,won,2nd,Chattogram,T20,New Zealand,Sri Lanka
won,lost,2nd,Mirpur,T20,Australia,Bangladesh
lost,won,1st,Mirpur,T20,Bangladesh,Australia
won,won,1st,Mirpur,T20,West Indies,Pakistan
lost,lost,2nd,Mirpur,T20,Pakistan,West Indies
won,won,1st,Mirpur,T20,Sri Lanka,West Indies
lost,lost,2nd,Mirpur,T20,West Indies,Sri Lanka
won,lost,2nd,Mirpur,T20,India,South Africa
lost,won,1st,Mirpur,T20,South Africa,India
won,won,2nd,Mirpur,T20,Sri Lanka,India
lost,lost,1st,Mirpur,T20,India,Sri Lanka
won,lost,1st,The Oval,T20,Sri Lanka,England
lost,won,2nd,The Oval,T20,England,Sri Lanka
won,won,2nd,Roseau,T20,New Zealand,West Indies
lost,lost,1st,Roseau,T20,West Indies,New Zealand
won,lost,1st,Roseau,T20,West Indies,New Zealand
lost,won,2nd,Roseau,T20,New Zealand,West Indies
won,won,1st,Birmingham,T20,England,India
lost,lost,2nd,Birmingham,T20,India,England
won,lost,2nd,Dubai (DICS),T20,Australia,Pakistan
lost,won,1st,Dubai (DICS),T20,Pakistan,Australia
won,lost,2nd,Adelaide,T20,South Africa,Australia
lost,won,1st,Adelaide,T20,Australia,South Africa
won,lost,2nd,Melbourne,T20,Australia,South Africa
lost,won,1st,Melbourne,T20,South Africa,Australia
won,won,2nd,Sydney,T20,Australia,South Africa
lost,lost,1st,Sydney,T20,South Africa,Australia
won,won,2nd,Colombo (PSS),T20,Hong Kong,Nepal
lost,lost,1st,Colombo (PSS),T20,Nepal,Hong Kong
won,won,2nd,Dubai (DICS),T20,Pakistan,New Zealand
lost,lost,1st,Dubai (DICS),T20,New Zealand,Pakistan
won,lost,1st,Dubai (DICS),T20,New Zealand,Pakistan
lost,won,2nd,Dubai (DICS),T20,Pakistan,New Zealand
won,lost,2nd,Cape Town,T20,West Indies,South Africa
lost,won,1st,Cape Town,T20,South Africa,West Indies
won,won,2nd,Johannesburg,T20,West Indies,South Africa
lost,lost,1st,Johannesburg,T20,South Africa,West Indies
won,lost,1st,Durban,T20,South Africa,West Indies
lost,won,2nd,Durban,T20,West Indies,South Africa
won,lost,2nd,Mirpur,T20,Bangladesh,Pakistan
lost,won,1st,Mirpur,T20,Pakistan,Bangladesh
won,lost,2nd,Lahore,T20,Pakistan,Zimbabwe
lost,won,1st,Lahore,T20,Zimbabwe,Pakistan
won,lost,2nd,Lahore,T20,Pakistan,Zimbabwe
lost,won,1st,Lahore,T20,Zimbabwe,Pakistan
won,lost,2nd,Bready,T20,Scotland,Ireland
lost,won,1st,Bready,T20,Ireland,Scotland
won,won,2nd,Bready,T20,Scotland,Ireland
lost,lost,1st,Bready,T20,Ireland,Scotland
won,won,1st,Manchester,T20,England,New Zealand
lost,lost,2nd,Manchester,T20,New Zealand,England
won,won,1st,Amstelveen,T20,Netherlands,Nepal
lost,lost,2nd,Amstelveen,T20,Nepal,Netherlands
won,lost,1st,Amstelveen,T20,Netherlands,Nepal
lost,won,2nd,Amstelveen,T20,Nepal,Netherlands
won,won,1st,Rotterdam,T20,Netherlands,Nepal
lost,lost,2nd,Rotterdam,T20,Nepal,Netherlands
won,lost,2nd,Rotterdam,T20,Nepal,Netherlands
lost,won,1st,Rotterdam,T20,Netherlands,Nepal
won,won,1st,Mirpur,T20,South Africa,Bangladesh
lost,lost,2nd,Mirpur,T20,Bangladesh,South Africa
won,won,1st,Mirpur,T20,South Africa,Bangladesh
lost,lost,2nd,Mirpur,T20,Bangladesh,South Africa
won,won,2nd,Edinburgh,T20,Scotland,U.A.E.
lost,lost,1st,Edinburgh,T20,U.A.E.,Scotland
won,lost,1st,Edinburgh,T20,Afghanistan,Netherlands
lost,won,2nd,Edinburgh,T20,Netherlands,Afghanistan
won,lost,2nd,Edinburgh,T20,Afghanistan,U.A.E.
lost,won,1st,Edinburgh,T20,U.A.E.,Afghanistan
won,won,1st,Edinburgh,T20,Netherlands,Scotland
lost,lost,2nd,Edinburgh,T20,Scotland,Netherlands
won,won,2nd,Edinburgh,T20,Netherlands,U.A.E.
lost,lost,1st,Edinburgh,T20,U.A.E.,Netherlands
won,won,1st,Edinburgh,T20,Afghanistan,Scotland
lost,lost,2nd,Edinburgh,T20,Scotland,Afghanistan
won,won,2nd,Belfast,T20,Ireland,Nepal
